"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f9033775760","      SYNCS.EXCH.64 URZ, [UR8+0x30], UR6","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775770","      SYNCS.EXCH.64 URZ, [UR8+0x38], UR6","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775780","      SYNCS.EXCH.64 URZ, [UR8+0x40], UR4","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775790","      NOP","2","2","2","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337757a0","      BSYNC B0","1","1","1","16384","262144","262144","16","16","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"0x7f90337757b0","      BAR.SYNC.DEFER_BLOCKING 0x0","52","38","52","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","1","0","12","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","1"
"0x7f90337757c0","      ISETP.GT.AND P0, PT, R3, 0xff, PT","3","0","3","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337757d0","@P0   BRA 0x7f903377ba00","656","621","656","98304","3145728","1048576","32","10","0","-","-","-","0","0","0","0","0","635","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","17","607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"0x7f90337757e0","      S2R R2, SR_CgaCtaId","20","12","20","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"0x7f90337757f0","      MOV R165, 0x400","0","0","0","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775800","      MEMBAR.ALL.CTA","2","0","2","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
